Cluster,timestamp
5,2022-07-31
5,2022-07-31
2,2022-07-31
2,2022-07-31
8,2022-07-31
0,2022-07-31
2,2022-07-31
8,2022-07-31
7,2022-07-31
8,2022-07-31
1,2022-07-31
1,2022-07-31
2,2022-07-31
8,2022-07-31
2,2022-07-31
2,2022-07-31
5,2022-07-31
3,2022-07-31
1,2022-07-31
5,2022-07-31
5,2022-07-31
2,2022-07-31
2,2022-07-31
1,2022-07-31
8,2022-07-31
8,2022-07-31
5,2022-07-31
5,2022-07-31
7,2022-07-31
2,2022-07-31
8,2022-07-31
7,2022-07-31
8,2022-07-31
7,2022-07-31
8,2022-07-31
2,2022-07-31
5,2022-07-31
3,2022-08-31
8,2022-08-31
5,2022-08-31
2,2022-08-31
2,2022-08-31
5,2022-08-31
8,2022-08-31
9,2022-08-31
7,2022-08-31
5,2022-08-31
5,2022-08-31
2,2022-08-31
3,2022-08-31
3,2022-08-31
9,2022-08-31
9,2022-08-31
9,2022-08-31
1,2022-08-31
5,2022-08-31
5,2022-08-31
5,2022-08-31
9,2022-08-31
8,2022-08-31
8,2022-08-31
2,2022-08-31
5,2022-08-31
9,2022-08-31
1,2022-08-31
7,2022-08-31
5,2022-08-31
8,2022-08-31
2,2022-08-31
1,2022-08-31
8,2022-08-31
3,2022-08-31
8,2022-08-31
5,2022-08-31
5,2022-08-31
3,2022-08-31
7,2022-08-31
5,2022-08-31
5,2022-08-31
5,2022-08-31
7,2022-08-31
7,2022-08-31
1,2022-08-31
1,2022-08-31
5,2022-08-31
8,2022-08-31
5,2022-08-31
8,2022-09-30
1,2022-09-30
4,2022-09-30
9,2022-09-30
7,2022-09-30
9,2022-09-30
8,2022-09-30
3,2022-09-30
1,2022-09-30
8,2022-09-30
9,2022-09-30
1,2022-09-30
3,2022-09-30
5,2022-09-30
8,2022-09-30
2,2022-09-30
5,2022-09-30
2,2022-09-30
5,2022-09-30
4,2022-09-30
5,2022-09-30
2,2022-09-30
8,2022-09-30
1,2022-09-30
8,2022-09-30
2,2022-09-30
3,2022-09-30
1,2022-09-30
5,2022-09-30
2,2022-09-30
4,2022-09-30
3,2022-09-30
1,2022-09-30
5,2022-09-30
2,2022-09-30
1,2022-09-30
5,2022-09-30
5,2022-09-30
3,2022-09-30
1,2022-09-30
5,2022-09-30
8,2022-09-30
5,2022-09-30
5,2022-09-30
5,2022-09-30
5,2022-09-30
3,2022-09-30
5,2022-09-30
4,2022-09-30
2,2022-10-31
5,2022-10-31
2,2022-10-31
3,2022-10-31
8,2022-10-31
9,2022-10-31
2,2022-10-31
8,2022-10-31
8,2022-10-31
3,2022-10-31
9,2022-10-31
2,2022-10-31
2,2022-10-31
1,2022-10-31
2,2022-10-31
9,2022-10-31
2,2022-10-31
2,2022-10-31
5,2022-10-31
8,2022-10-31
7,2022-10-31
5,2022-10-31
5,2022-10-31
5,2022-10-31
5,2022-10-31
1,2022-10-31
2,2022-10-31
2,2022-10-31
1,2022-10-31
9,2022-10-31
7,2022-10-31
5,2022-10-31
3,2022-10-31
1,2022-10-31
8,2022-10-31
5,2022-10-31
3,2022-10-31
1,2022-10-31
2,2022-10-31
2,2022-10-31
5,2022-10-31
